scenario_id;family;scenario_status;semantic_outcome_kind;outcome_before;outcome_after;outcome_changed;module_prediction;module_classification;full_interface_prediction;full_interface_classification;used_declarations_prediction;used_declarations_classification
adl.add_associated_namespace_function;adl_conversions;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Tact#&1t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|act|int (const type-parameter-0-0 &)|1|""},""semantic_discriminators"":{""canonical_type"":""int (const struct model::X &)"",""return_type"":""int""},""stable_id"":""usr:c:@F@act<#$@N@model@S@X>#&1S0_#"",""structural_key"":""Provider|Function|act|int (const struct model::X &)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (struct model::X)"",""return_type"":""long""},""stable_id"":""usr:c:@N@model@F@act#$@N@model@S@X#"",""structural_key"":""Provider|Function|model::act|long (struct model::X)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
adl.add_hidden_friend;adl_conversions;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Ttouch#&1t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|touch|int (const type-parameter-0-0 &)|1|""},""semantic_discriminators"":{""canonical_type"":""int (const struct model::X &)"",""return_type"":""int""},""stable_id"":""usr:c:@F@touch<#$@N@model@S@X>#&1S0_#"",""structural_key"":""Provider|Function|touch|int (const struct model::X &)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (struct model::X)"",""return_type"":""long""},""stable_id"":""usr:c:@N@model@F@touch#$@N@model@S@X#"",""structural_key"":""Provider|Function|model::touch|long (struct model::X)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
adl.add_nonmember_operator;adl_conversions;completed;expression_type;int;long;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
adl.new_candidate_beats_ordinary_lookup;adl_conversions;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (const struct model::X &)"",""return_type"":""int""},""stable_id"":""usr:c:@F@dispatch#&1$@N@model@S@X#"",""structural_key"":""Provider|Function|dispatch|int (const struct model::X &)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (struct model::X &)"",""return_type"":""long""},""stable_id"":""usr:c:@N@model@F@dispatch#&$@N@model@S@X#"",""structural_key"":""Provider|Function|model::dispatch|long (struct model::X &)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
constraints.add_requires_expression_candidate;templates_constraints;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Tserialize#&1t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|serialize|int (const type-parameter-0-0 &)|1|""},""semantic_discriminators"":{""canonical_type"":""int (const struct Encodable &)"",""return_type"":""int""},""stable_id"":""usr:c:@F@serialize<#$@S@Encodable>#&1S0_#"",""structural_key"":""Provider|Function|serialize|int (const struct Encodable &)|0|""}";"{""primary_template"":{""semantic_discriminators"":{""template_requires"":""requires (const type-parameter-0-0 &value) { value.encode(); }""},""stable_id"":""usr:c:@FT@>1#Tserialize#&1t0.0#L#"",""structural_key"":""Provider|FunctionTemplate|serialize|long (const type-parameter-0-0 &)|1|requires (const type-parameter-0-0 &value) { value.encode(); }""},""semantic_discriminators"":{""canonical_type"":""long (const struct Encodable &)"",""return_type"":""long""},""stable_id"":""usr:c:@F@serialize<#$@S@Encodable>#&1S0_#"",""structural_key"":""Provider|Function|serialize|long (const struct Encodable &)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
constraints.add_subsuming_candidate;templates_constraints;completed;selected_declaration;"{""primary_template"":{""semantic_discriminators"":{""template_requires"":""AnyType<type-parameter-0-0>""},""stable_id"":""usr:c:@FT@>1#Torder#*t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|order|int (type-parameter-0-0 *)|1|AnyType<type-parameter-0-0>""},""semantic_discriminators"":{""canonical_type"":""int (struct Four *)"",""return_type"":""int""},""stable_id"":""usr:c:@F@order<#$@S@Four>#*S0_#"",""structural_key"":""Provider|Function|order|int (struct Four *)|0|""}";"{""primary_template"":{""semantic_discriminators"":{""template_requires"":""FourByte<type-parameter-0-0>""},""stable_id"":""usr:c:@FT@>1#Torder#*t0.0#L#"",""structural_key"":""Provider|FunctionTemplate|order|long (type-parameter-0-0 *)|1|FourByte<type-parameter-0-0>""},""semantic_discriminators"":{""canonical_type"":""long (struct Four *)"",""return_type"":""long""},""stable_id"":""usr:c:@F@order<#$@S@Four>#*S0_#"",""structural_key"":""Provider|Function|order|long (struct Four *)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
constraints.change_concept_satisfaction;templates_constraints;completed;constraint_result;False;True;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger
controls.add_different_name;direct_and_controls;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@target#I#"",""structural_key"":""Provider|Function|target|int (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@target#I#"",""structural_key"":""Provider|Function|target|int (int)|0|""}";False;changed_or_unknown;conservative_trigger;changed_or_unknown;conservative_trigger;unchanged;correct_skip
controls.comment_only;direct_and_controls;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@compute#I#"",""structural_key"":""Provider|Function|compute|int (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@compute#I#"",""structural_key"":""Provider|Function|compute|int (int)|0|""}";False;changed_or_unknown;conservative_trigger;unchanged;correct_skip;unchanged;correct_skip
controls.unused_noninline_body;direct_and_controls;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@used#I#"",""structural_key"":""Provider|Function|used|int (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@used#I#"",""structural_key"":""Provider|Function|used|int (int)|0|""}";False;changed_or_unknown;conservative_trigger;unchanged;correct_skip;unchanged;correct_skip
